hbresname,discharge_fin_yr_end,sex,age_grp,stays,rate
NHS Dumfries & Galloway,2017,Both Sexes,15-24,13,83.75
NHS Fife,2017,Both Sexes,15-24,114,250.67
NHS Forth Valley,2017,Both Sexes,15-24,24,62.83
NHS Grampian,2017,Both Sexes,15-24,62,86.58
NHS Greater Glasgow & Clyde,2017,Both Sexes,15-24,184,120.03
NHS Highland,2017,Both Sexes,15-24,42,122.67
NHS Lanarkshire,2017,Both Sexes,15-24,85,110
NHS Lothian,2017,Both Sexes,15-24,126,110.96
NHS Tayside,2017,Both Sexes,15-24,47,89.35
NHS Western Isles,2017,Both Sexes,15-24,4,157.6
Other,2017,Both Sexes,15-24,13,-
NHSScotland,2017,Both Sexes,15-24,783,118.17
NHS Ayrshire & Arran,2017,Both Sexes,25-34,55,138.96
NHS Borders,2017,Both Sexes,25-34,16,156.65
NHS Dumfries & Galloway,2017,Both Sexes,25-34,15,101.42
NHS Fife,2017,Both Sexes,25-34,79,185.06
NHS Forth Valley,2017,Both Sexes,25-34,36,100.81
NHS Grampian,2017,Both Sexes,25-34,35,40.72
NHS Greater Glasgow & Clyde,2017,Both Sexes,25-34,190,105.26
NHS Highland,2017,Both Sexes,25-34,26,76.69
NHS Lanarkshire,2017,Both Sexes,25-34,64,81.03
NHS Lothian,2017,Both Sexes,25-34,134,93.78
NHS Orkney,2017,Both Sexes,25-34,1,42.84
NHS Shetland,2017,Both Sexes,25-34,2,74.16
NHS Tayside,2017,Both Sexes,25-34,59,110.69
Other,2017,Both Sexes,25-34,4,-
NHSScotland,2017,Both Sexes,25-34,716,98.62
NHS Ayrshire & Arran,2017,Both Sexes,35-44,49,117.98
NHS Borders,2017,Both Sexes,35-44,9,72.92
NHS Dumfries & Galloway,2017,Both Sexes,35-44,17,113.24
NHS Fife,2017,Both Sexes,35-44,44,99.46
NHS Forth Valley,2017,Both Sexes,35-44,38,99.54
NHS Grampian,2017,Both Sexes,35-44,51,66.58
NHS Greater Glasgow & Clyde,2017,Both Sexes,35-44,153,106.2
NHS Highland,2017,Both Sexes,35-44,31,84.96
NHS Lanarkshire,2017,Both Sexes,35-44,105,124.92
NHS Lothian,2017,Both Sexes,35-44,115,97.31
NHS Tayside,2017,Both Sexes,35-44,49,105.9
NHS Western Isles,2017,Both Sexes,35-44,3,97.56
Other,2017,Both Sexes,35-44,6,-
NHSScotland,2017,Both Sexes,35-44,670,100.69
NHS Ayrshire & Arran,2017,Both Sexes,45-54,63,111
NHS Borders,2017,Both Sexes,45-54,26,142.45
NHS Dumfries & Galloway,2017,Both Sexes,45-54,15,65.49
NHS Fife,2017,Both Sexes,45-54,67,121.45
NHS Forth Valley,2017,Both Sexes,45-54,40,84.13
NHS Grampian,2017,Both Sexes,45-54,35,41.27
NHS Greater Glasgow & Clyde,2017,Both Sexes,45-54,230,136.36
NHS Highland,2017,Both Sexes,45-54,35,71.52
NHS Lanarkshire,2017,Both Sexes,45-54,109,106.22
NHS Lothian,2017,Both Sexes,45-54,142,115.54
NHS Orkney,2017,Both Sexes,45-54,12,351.7
NHS Shetland,2017,Both Sexes,45-54,1,28.89
NHS Tayside,2017,Both Sexes,45-54,51,85.9
NHS Western Isles,2017,Both Sexes,45-54,1,24.12
Other,2017,Both Sexes,45-54,6,-
NHSScotland,2017,Both Sexes,45-54,833,104.26
NHS Ayrshire & Arran,2017,Both Sexes,55-64,64,122.61
NHS Borders,2017,Both Sexes,55-64,4,23.48
NHS Dumfries & Galloway,2017,Both Sexes,55-64,27,121.24
NHS Fife,2017,Both Sexes,55-64,158,324.86
NHS Forth Valley,2017,Both Sexes,55-64,32,82.44
NHS Grampian,2017,Both Sexes,55-64,34,46.66
NHS Greater Glasgow & Clyde,2017,Both Sexes,55-64,176,124.4
NHS Highland,2017,Both Sexes,55-64,41,87.32
NHS Lanarkshire,2017,Both Sexes,55-64,117,134.78
NHS Lothian,2017,Both Sexes,55-64,96,95.15
NHS Orkney,2017,Both Sexes,55-64,1,31.28
NHS Tayside,2017,Both Sexes,55-64,20,36.95
NHS Western Isles,2017,Both Sexes,55-64,7,176.95
Other,2017,Both Sexes,55-64,7,-
NHSScotland,2017,Both Sexes,55-64,784,113.23
NHS Ayrshire & Arran,2017,Both Sexes,65-74,38,83.58
NHS Borders,2017,Both Sexes,65-74,11,71.19
NHS Dumfries & Galloway,2017,Both Sexes,65-74,13,63.53
NHS Fife,2017,Both Sexes,65-74,47,111.6
NHS Forth Valley,2017,Both Sexes,65-74,18,55.88
NHS Grampian,2017,Both Sexes,65-74,29,50.42
NHS Greater Glasgow & Clyde,2017,Both Sexes,65-74,117,113.82
NHS Highland,2017,Both Sexes,65-74,27,66.17
NHS Lanarkshire,2017,Both Sexes,65-74,64,97.19
NHS Lothian,2017,Both Sexes,65-74,71,90.76
NHS Orkney,2017,Both Sexes,65-74,2,70.77
NHS Shetland,2017,Both Sexes,65-74,1,38.88
NHS Tayside,2017,Both Sexes,65-74,32,68.58
NHS Western Isles,2017,Both Sexes,65-74,5,139.39
Other,2017,Both Sexes,65-74,11,-
NHSScotland,2017,Both Sexes,65-74,486,87.32
NHS Ayrshire & Arran,2017,Both Sexes,65+,71,88.31
NHS Borders,2017,Both Sexes,65+,20,73.41
NHS Dumfries & Galloway,2017,Both Sexes,65+,27,73.16
NHS Fife,2017,Both Sexes,65+,59,80.1
NHS Forth Valley,2017,Both Sexes,65+,48,85.01
NHS Grampian,2017,Both Sexes,65+,58,56.66
NHS Greater Glasgow & Clyde,2017,Both Sexes,65+,277,145.35
NHS Highland,2017,Both Sexes,65+,70,97.72
NHS Lanarkshire,2017,Both Sexes,65+,119,102.7
NHS Lothian,2017,Both Sexes,65+,150,106.11
NHS Orkney,2017,Both Sexes,65+,2,40.27
NHS Shetland,2017,Both Sexes,65+,3,68.14
NHS Tayside,2017,Both Sexes,65+,60,69.47
NHS Western Isles,2017,Both Sexes,65+,11,165.69
Other,2017,Both Sexes,65+,16,-
NHSScotland,2017,Both Sexes,65+,991,99.21
NHS Ayrshire & Arran,2017,Both Sexes,75-84,20,77.12
NHS Borders,2017,Both Sexes,75-84,4,46.33
NHS Dumfries & Galloway,2017,Both Sexes,75-84,8,66.01
NHS Fife,2017,Both Sexes,75-84,5,21.71
NHS Forth Valley,2017,Both Sexes,75-84,18,99.28
NHS Grampian,2017,Both Sexes,75-84,18,55.42
NHS Greater Glasgow & Clyde,2017,Both Sexes,75-84,123,192.46
NHS Highland,2017,Both Sexes,75-84,36,159.68
NHS Lanarkshire,2017,Both Sexes,75-84,37,97.97
NHS Lothian,2017,Both Sexes,75-84,62,136.72
NHS Shetland,2017,Both Sexes,75-84,2,147.82
NHS Tayside,2017,Both Sexes,75-84,19,67.27
NHS Western Isles,2017,Both Sexes,75-84,4,181.74
Other,2017,Both Sexes,75-84,5,-
NHSScotland,2017,Both Sexes,75-84,361,111.67
NHS Ayrshire & Arran,2017,Both Sexes,75+,33,94.47
NHS Borders,2017,Both Sexes,75+,9,76.32
NHS Dumfries & Galloway,2017,Both Sexes,75+,14,85.13
NHS Fife,2017,Both Sexes,75+,12,38.04
NHS Forth Valley,2017,Both Sexes,75+,30,123.69
NHS Grampian,2017,Both Sexes,75+,29,64.67
NHS Greater Glasgow & Clyde,2017,Both Sexes,75+,160,182.27
NHS Highland,2017,Both Sexes,75+,43,139.48
NHS Lanarkshire,2017,Both Sexes,75+,55,109.96
NHS Lothian,2017,Both Sexes,75+,79,125.12
NHS Shetland,2017,Both Sexes,75+,2,109.23
NHS Tayside,2017,Both Sexes,75+,28,70.51
NHS Western Isles,2017,Both Sexes,75+,6,196.59
Other,2017,Both Sexes,75+,5,-
NHSScotland,2017,Both Sexes,75+,505,114.17
NHS Ayrshire & Arran,2017,Both Sexes,85+,13,144.44
NHS Borders,2017,Both Sexes,85+,5,158.28
NHS Dumfries & Galloway,2017,Both Sexes,85+,6,138.7
NHS Fife,2017,Both Sexes,85+,7,82.23
NHS Forth Valley,2017,Both Sexes,85+,12,195.92
NHS Grampian,2017,Both Sexes,85+,11,88.98
NHS Greater Glasgow & Clyde,2017,Both Sexes,85+,37,155
NHS Highland,2017,Both Sexes,85+,7,84.5
NHS Lanarkshire,2017,Both Sexes,85+,18,146.89
NHS Lothian,2017,Both Sexes,85+,17,95.56
NHS Tayside,2017,Both Sexes,85+,9,78.5
NHS Western Isles,2017,Both Sexes,85+,2,235.02
NHSScotland,2017,Both Sexes,85+,144,120.96
NHS Ayrshire & Arran,2017,Both Sexes,All ages,515,138.98
NHS Borders,2017,Both Sexes,All ages,117,102.16
NHS Dumfries & Galloway,2017,Both Sexes,All ages,188,125.74
NHS Fife,2017,Both Sexes,All ages,597,161.21
NHS Forth Valley,2017,Both Sexes,All ages,321,105.43
NHS Grampian,2017,Both Sexes,All ages,352,59.85
NHS Greater Glasgow & Clyde,2017,Both Sexes,All ages,1571,135.27
NHS Highland,2017,Both Sexes,All ages,323,100.34
NHS Lanarkshire,2017,Both Sexes,All ages,956,145.62
NHS Lothian,2017,Both Sexes,All ages,1031,117.16
NHS Orkney,2017,Both Sexes,All ages,20,91.53
NHS Shetland,2017,Both Sexes,All ages,13,56.03
NHS Tayside,2017,Both Sexes,All ages,462,111.2
NHS Western Isles,2017,Both Sexes,All ages,28,104.09
Other,2017,Both Sexes,All ages,65,-
NHSScotland,2017,Both Sexes,All ages,6559,121.36
NHS Ayrshire & Arran,2017,Female,00-14,77,270.35
NHS Borders,2017,Female,00-14,6,68.2
NHS Dumfries & Galloway,2017,Female,00-14,26,240.1
NHS Fife,2017,Female,00-14,18,61.12
NHS Forth Valley,2017,Female,00-14,35,145.2
NHS Grampian,2017,Female,00-14,18,39.28
NHS Greater Glasgow & Clyde,2017,Female,00-14,158,176.45
NHS Highland,2017,Female,00-14,32,131.59
NHS Lanarkshire,2017,Female,00-14,123,226.83
NHS Lothian,2017,Female,00-14,100,146.3
NHS Orkney,2017,Female,00-14,2,125.16
NHS Shetland,2017,Female,00-14,3,157.73
NHS Tayside,2017,Female,00-14,79,255.57
Other,2017,Female,00-14,5,-
NHSScotland,2017,Female,00-14,682,162.27
NHS Ayrshire & Arran,2017,Female,15-24,36,176.13
NHS Borders,2017,Female,15-24,12,209.42
NHS Dumfries & Galloway,2017,Female,15-24,7,92.95
NHS Fife,2017,Female,15-24,98,430.37
NHS Forth Valley,2017,Female,15-24,16,85.38
NHS Grampian,2017,Female,15-24,40,113.24
NHS Greater Glasgow & Clyde,2017,Female,15-24,132,172.68
NHS Highland,2017,Female,15-24,25,158.9
NHS Lanarkshire,2017,Female,15-24,66,175.04
NHS Lothian,2017,Female,15-24,76,129.84
NHS Tayside,2017,Female,15-24,34,131.22
NHS Western Isles,2017,Female,15-24,2,164.61
Other,2017,Female,15-24,6,-
NHSScotland,2017,Female,15-24,550,167.52
NHS Ayrshire & Arran,2017,Female,25-34,40,194.49
NHS Borders,2017,Female,25-34,14,263.6
NHS Dumfries & Galloway,2017,Female,25-34,13,171.08
NHS Fife,2017,Female,25-34,66,299.65
NHS Forth Valley,2017,Female,25-34,30,162.07
NHS Grampian,2017,Female,25-34,26,62.06
NHS Greater Glasgow & Clyde,2017,Female,25-34,150,166.38
NHS Highland,2017,Female,25-34,19,113.2
NHS Lanarkshire,2017,Female,25-34,49,119.95
NHS Lothian,2017,Female,25-34,96,130.78
NHS Orkney,2017,Female,25-34,1,84.1
NHS Shetland,2017,Female,25-34,2,149.81
NHS Tayside,2017,Female,25-34,41,153.69
Other,2017,Female,25-34,2,-
NHSScotland,2017,Female,25-34,549,149.35
NHS Ayrshire & Arran,2017,Female,35-44,34,154.45
NHS Borders,2017,Female,35-44,5,77.38
NHS Dumfries & Galloway,2017,Female,35-44,13,165.25
NHS Fife,2017,Female,35-44,27,118.59
NHS Forth Valley,2017,Female,35-44,28,141.85
NHS Grampian,2017,Female,35-44,35,92.89
NHS Greater Glasgow & Clyde,2017,Female,35-44,112,152.67
NHS Highland,2017,Female,35-44,20,106.71
NHS Lanarkshire,2017,Female,35-44,81,187.26
NHS Lothian,2017,Female,35-44,77,130.01
NHS Tayside,2017,Female,35-44,34,142.7
NHS Western Isles,2017,Female,35-44,2,127.23
Other,2017,Female,35-44,3,-
NHSScotland,2017,Female,35-44,471,138.86
NHS Ayrshire & Arran,2017,Female,45-54,43,143.43
NHS Borders,2017,Female,45-54,22,234.94
NHS Dumfries & Galloway,2017,Female,45-54,12,100.33
NHS Fife,2017,Female,45-54,56,196.95
NHS Forth Valley,2017,Female,45-54,31,127.81
NHS Grampian,2017,Female,45-54,28,65.31
NHS Greater Glasgow & Clyde,2017,Female,45-54,164,185.23
NHS Highland,2017,Female,45-54,29,114.48
NHS Lanarkshire,2017,Female,45-54,76,143.31
NHS Lothian,2017,Female,45-54,110,176.29
NHS Shetland,2017,Female,45-54,1,58.17
NHS Tayside,2017,Female,45-54,37,121.51
NHS Western Isles,2017,Female,45-54,1,48.8
Other,2017,Female,45-54,3,-
NHSScotland,2017,Female,45-54,613,148.75
NHS Ayrshire & Arran,2017,Female,55-64,38,139.87
NHS Borders,2017,Female,55-64,1,11.55
NHS Dumfries & Galloway,2017,Female,55-64,18,157.11
NHS Fife,2017,Female,55-64,95,381.51
NHS Forth Valley,2017,Female,55-64,22,111.15
NHS Grampian,2017,Female,55-64,25,68.49
NHS Greater Glasgow & Clyde,2017,Female,55-64,110,149.84
NHS Highland,2017,Female,55-64,19,79.45
NHS Lanarkshire,2017,Female,55-64,80,177.38
NHS Lothian,2017,Female,55-64,61,118.38
NHS Tayside,2017,Female,55-64,15,54.02
NHS Western Isles,2017,Female,55-64,5,256.28
Other,2017,Female,55-64,4,-
NHSScotland,2017,Female,55-64,493,138.78
NHS Ayrshire & Arran,2017,Female,65-74,27,113.16
NHS Borders,2017,Female,65-74,6,75.82
NHS Dumfries & Galloway,2017,Female,65-74,8,76.44
NHS Fife,2017,Female,65-74,35,159.34
NHS Forth Valley,2017,Female,65-74,13,77.2
NHS Grampian,2017,Female,65-74,18,60.88
NHS Greater Glasgow & Clyde,2017,Female,65-74,86,157.57
NHS Highland,2017,Female,65-74,15,71.94
NHS Lanarkshire,2017,Female,65-74,44,126.27
NHS Lothian,2017,Female,65-74,47,113.51
NHS Orkney,2017,Female,65-74,1,69.2
NHS Tayside,2017,Female,65-74,17,69.62
NHS Western Isles,2017,Female,65-74,3,167.04
Other,2017,Female,65-74,7,-
NHSScotland,2017,Female,65-74,327,112.29
NHS Ayrshire & Arran,2017,Female,65+,56,126.39
NHS Borders,2017,Female,65+,9,61.26
NHS Dumfries & Galloway,2017,Female,65+,17,86.1
NHS Fife,2017,Female,65+,45,111.31
NHS Forth Valley,2017,Female,65+,36,115.89
NHS Grampian,2017,Female,65+,38,68.03
NHS Greater Glasgow & Clyde,2017,Female,65+,202,185.37
NHS Highland,2017,Female,65+,50,128.49
NHS Lanarkshire,2017,Female,65+,84,129.06
NHS Lothian,2017,Female,65+,110,139.04
NHS Orkney,2017,Female,65+,1,38.12
NHS Shetland,2017,Female,65+,2,86.81
NHS Tayside,2017,Female,65+,39,81.66
NHS Western Isles,2017,Female,65+,9,247.8
Other,2017,Female,65+,12,-
NHSScotland,2017,Female,65+,710,128.04
NHS Ayrshire & Arran,2017,Female,75-84,17,116.74
NHS Borders,2017,Female,75-84,2,41.67
NHS Dumfries & Galloway,2017,Female,75-84,3,45.94
NHS Fife,2017,Female,75-84,4,31.09
NHS Forth Valley,2017,Female,75-84,17,166.52
NHS Grampian,2017,Female,75-84,11,60.32
NHS Greater Glasgow & Clyde,2017,Female,75-84,88,231.31
NHS Highland,2017,Female,75-84,28,221.19
NHS Lanarkshire,2017,Female,75-84,26,118.07
NHS Lothian,2017,Female,75-84,49,188.83
NHS Shetland,2017,Female,75-84,2,273.97
NHS Tayside,2017,Female,75-84,14,88.32
NHS Western Isles,2017,Female,75-84,4,315.96
Other,2017,Female,75-84,5,-
NHSScotland,2017,Female,75-84,270,146.3
NHS Ayrshire & Arran,2017,Female,75+,29,141.83
NHS Borders,2017,Female,75+,3,44.26
NHS Dumfries & Galloway,2017,Female,75+,9,97
NHS Fife,2017,Female,75+,10,54.17
NHS Forth Valley,2017,Female,75+,23,161.7
NHS Grampian,2017,Female,75+,20,76.06
NHS Greater Glasgow & Clyde,2017,Female,75+,116,213.26
NHS Highland,2017,Female,75+,35,193.77
NHS Lanarkshire,2017,Female,75+,40,132.28
NHS Lothian,2017,Female,75+,63,167.07
NHS Shetland,2017,Female,75+,2,191.57
NHS Tayside,2017,Female,75+,22,94.24
NHS Western Isles,2017,Female,75+,6,326.8
Other,2017,Female,75+,5,-
NHSScotland,2017,Female,75+,383,145.47
NHS Ayrshire & Arran,2017,Female,85+,12,203.91
NHS Borders,2017,Female,85+,1,50.56
NHS Dumfries & Galloway,2017,Female,85+,6,218.34
NHS Fife,2017,Female,85+,6,107.2
NHS Forth Valley,2017,Female,85+,6,149.44
NHS Grampian,2017,Female,85+,9,111.68
NHS Greater Glasgow & Clyde,2017,Female,85+,28,171.26
NHS Highland,2017,Female,85+,7,129.53
NHS Lanarkshire,2017,Female,85+,14,170.38
NHS Lothian,2017,Female,85+,14,119.05
NHS Tayside,2017,Female,85+,8,106.78
NHS Western Isles,2017,Female,85+,2,350.88
NHSScotland,2017,Female,85+,113,143.51
NHS Ayrshire & Arran,2017,Female,All ages,324,167.91
NHS Borders,2017,Female,All ages,69,116.92
NHS Dumfries & Galloway,2017,Female,All ages,106,137.69
NHS Fife,2017,Female,All ages,405,212.29
NHS Forth Valley,2017,Female,All ages,198,126.76
NHS Grampian,2017,Female,All ages,210,70.96
NHS Greater Glasgow & Clyde,2017,Female,All ages,1028,171.21
NHS Highland,2017,Female,All ages,194,118.48
NHS Lanarkshire,2017,Female,All ages,559,164.77
NHS Lothian,2017,Female,All ages,630,139.21
NHS Orkney,2017,Female,All ages,4,36.46
NHS Shetland,2017,Female,All ages,8,70.07
NHS Tayside,2017,Female,All ages,279,130.8
NHS Western Isles,2017,Female,All ages,19,139.39
Other,2017,Female,All ages,35,-
NHSScotland,2017,Female,All ages,4068,146.48
NHS Ayrshire & Arran,2017,Male,00-14,81,272.57
NHS Borders,2017,Male,00-14,22,243.77
NHS Dumfries & Galloway,2017,Male,00-14,48,425.38
NHS Fife,2017,Male,00-14,58,187.03
NHS Forth Valley,2017,Male,00-14,68,267.08
NHS Grampian,2017,Male,00-14,59,122.72
NHS Greater Glasgow & Clyde,2017,Male,00-14,203,217.73
NHS Highland,2017,Male,00-14,46,180.86
NHS Lanarkshire,2017,Male,00-14,234,412.92
NHS Lothian,2017,Male,00-14,168,233.71
NHS Orkney,2017,Male,00-14,2,117.1
NHS Shetland,2017,Male,00-14,4,192.22
NHS Tayside,2017,Male,00-14,97,298.35
NHS Western Isles,2017,Male,00-14,2,95.1
Other,2017,Male,00-14,8,-
NHSScotland,2017,Male,00-14,1100,249.89
NHS Ayrshire & Arran,2017,Male,15-24,19,88.55
NHS Borders,2017,Male,15-24,2,33.97
NHS Dumfries & Galloway,2017,Male,15-24,6,75.08
NHS Fife,2017,Male,15-24,16,70.46
NHS Forth Valley,2017,Male,15-24,8,41.12
NHS Grampian,2017,Male,15-24,22,60.63
NHS Greater Glasgow & Clyde,2017,Male,15-24,52,67.66
NHS Highland,2017,Male,15-24,17,91.87
NHS Lanarkshire,2017,Male,15-24,19,48.02
NHS Lothian,2017,Male,15-24,50,90.88
NHS Tayside,2017,Male,15-24,13,48.7
NHS Western Isles,2017,Male,15-24,2,151.17
Other,2017,Male,15-24,7,-
NHSScotland,2017,Male,15-24,233,69.7
NHS Ayrshire & Arran,2017,Male,25-34,15,78.9
NHS Borders,2017,Male,25-34,2,40.79
NHS Dumfries & Galloway,2017,Male,25-34,2,27.81
NHS Fife,2017,Male,25-34,13,62.91
NHS Forth Valley,2017,Male,25-34,6,34.88
NHS Grampian,2017,Male,25-34,9,20.43
NHS Greater Glasgow & Clyde,2017,Male,25-34,40,44.27
NHS Highland,2017,Male,25-34,7,40.89
NHS Lanarkshire,2017,Male,25-34,15,39.34
NHS Lothian,2017,Male,25-34,38,54.7
NHS Tayside,2017,Male,25-34,18,67.61
Other,2017,Male,25-34,2,-
NHSScotland,2017,Male,25-34,167,46.59
NHS Ayrshire & Arran,2017,Male,35-44,15,76.85
NHS Borders,2017,Male,35-44,4,68.03
NHS Dumfries & Galloway,2017,Male,35-44,4,55.98
NHS Fife,2017,Male,35-44,17,79.18
NHS Forth Valley,2017,Male,35-44,10,54.24
NHS Grampian,2017,Male,35-44,16,41.1
NHS Greater Glasgow & Clyde,2017,Male,35-44,41,57.98
NHS Highland,2017,Male,35-44,11,61.99
NHS Lanarkshire,2017,Male,35-44,24,58.83
NHS Lothian,2017,Male,35-44,38,64.46
NHS Tayside,2017,Male,35-44,15,66.83
NHS Western Isles,2017,Male,35-44,1,66.53
Other,2017,Male,35-44,3,-
NHSScotland,2017,Male,35-44,199,61.01
NHS Ayrshire & Arran,2017,Male,45-54,20,74.7
NHS Borders,2017,Male,45-54,4,45
NHS Dumfries & Galloway,2017,Male,45-54,3,27.41
NHS Fife,2017,Male,45-54,11,41.14
NHS Forth Valley,2017,Male,45-54,9,38.64
NHS Grampian,2017,Male,45-54,7,16.69
NHS Greater Glasgow & Clyde,2017,Male,45-54,66,82.37
NHS Highland,2017,Male,45-54,6,25.42
NHS Lanarkshire,2017,Male,45-54,33,66.55
NHS Lothian,2017,Male,45-54,32,52.89
NHS Orkney,2017,Male,45-54,12,704.64
NHS Tayside,2017,Male,45-54,14,48.41
Other,2017,Male,45-54,3,-
NHSScotland,2017,Male,45-54,220,56.87
NHS Ayrshire & Arran,2017,Male,55-64,26,103.88
NHS Borders,2017,Male,55-64,3,35.8
NHS Dumfries & Galloway,2017,Male,55-64,9,83.23
NHS Fife,2017,Male,55-64,63,265.43
NHS Forth Valley,2017,Male,55-64,10,52.56
NHS Grampian,2017,Male,55-64,9,24.74
NHS Greater Glasgow & Clyde,2017,Male,55-64,66,96.96
NHS Highland,2017,Male,55-64,22,95.49
NHS Lanarkshire,2017,Male,55-64,37,88.72
NHS Lothian,2017,Male,55-64,35,70.9
NHS Orkney,2017,Male,55-64,1,60.9
NHS Tayside,2017,Male,55-64,5,18.97
NHS Western Isles,2017,Male,55-64,2,99.75
Other,2017,Male,55-64,3,-
NHSScotland,2017,Male,55-64,291,86.31
NHS Ayrshire & Arran,2017,Male,65-74,11,50.91
NHS Borders,2017,Male,65-74,5,66.33
NHS Dumfries & Galloway,2017,Male,65-74,5,50.02
NHS Fife,2017,Male,65-74,12,59.55
NHS Forth Valley,2017,Male,65-74,5,32.53
NHS Grampian,2017,Male,65-74,11,39.36
NHS Greater Glasgow & Clyde,2017,Male,65-74,31,64.3
NHS Highland,2017,Male,65-74,12,60.14
NHS Lanarkshire,2017,Male,65-74,20,64.5
NHS Lothian,2017,Male,65-74,24,65.18
NHS Orkney,2017,Male,65-74,1,72.41
NHS Shetland,2017,Male,65-74,1,76.22
NHS Tayside,2017,Male,65-74,15,67.43
NHS Western Isles,2017,Male,65-74,2,111.67
Other,2017,Male,65-74,4,-
NHSScotland,2017,Male,65-74,159,59.92
NHS Ayrshire & Arran,2017,Male,65+,15,41.56
NHS Borders,2017,Male,65+,11,87.64
NHS Dumfries & Galloway,2017,Male,65+,10,58.26
NHS Fife,2017,Male,65+,14,42.13
NHS Forth Valley,2017,Male,65+,12,47.24
NHS Grampian,2017,Male,65+,20,43.01
NHS Greater Glasgow & Clyde,2017,Male,65+,75,91.91
NHS Highland,2017,Male,65+,20,61.13
NHS Lanarkshire,2017,Male,65+,35,68.91
NHS Lothian,2017,Male,65+,40,64.26
NHS Orkney,2017,Male,65+,1,42.66
NHS Shetland,2017,Male,65+,1,47.64
NHS Tayside,2017,Male,65+,21,54.39
NHS Western Isles,2017,Male,65+,2,66.51
Other,2017,Male,65+,4,-
NHSScotland,2017,Male,65+,281,63.24
NHS Ayrshire & Arran,2017,Male,75-84,3,26.38
NHS Borders,2017,Male,75-84,2,52.18
NHS Dumfries & Galloway,2017,Male,75-84,5,89.46
NHS Fife,2017,Male,75-84,1,9.84
NHS Forth Valley,2017,Male,75-84,1,12.62
NHS Grampian,2017,Male,75-84,7,49.14
NHS Greater Glasgow & Clyde,2017,Male,75-84,35,135.32
NHS Highland,2017,Male,75-84,8,80.92
NHS Lanarkshire,2017,Male,75-84,11,69.87
NHS Lothian,2017,Male,75-84,13,67.02
NHS Tayside,2017,Male,75-84,5,40.35
NHSScotland,2017,Male,75-84,91,65.6
NHS Ayrshire & Arran,2017,Male,75+,4,27.61
NHS Borders,2017,Male,75+,6,119.66
NHS Dumfries & Galloway,2017,Male,75+,5,69.76
NHS Fife,2017,Male,75+,2,15.29
NHS Forth Valley,2017,Male,75+,7,69.78
NHS Grampian,2017,Male,75+,9,48.52
NHS Greater Glasgow & Clyde,2017,Male,75+,44,131.79
NHS Highland,2017,Male,75+,8,62.67
NHS Lanarkshire,2017,Male,75+,15,75.83
NHS Lothian,2017,Male,75+,16,62.92
NHS Tayside,2017,Male,75+,6,36.66
NHSScotland,2017,Male,75+,122,68.15
NHS Ayrshire & Arran,2017,Male,85+,1,32.1
NHS Borders,2017,Male,85+,4,338.7
NHS Fife,2017,Male,85+,1,34.29
NHS Forth Valley,2017,Male,85+,6,284.36
NHS Grampian,2017,Male,85+,2,46.48
NHS Greater Glasgow & Clyde,2017,Male,85+,9,119.65
NHS Lanarkshire,2017,Male,85+,4,99.08
NHS Lothian,2017,Male,85+,3,49.75
NHS Tayside,2017,Male,85+,1,25.17
NHSScotland,2017,Male,85+,31,76.92
NHS Ayrshire & Arran,2017,Male,All ages,191,107.54
NHS Borders,2017,Male,All ages,48,86.46
NHS Dumfries & Galloway,2017,Male,All ages,82,113.05
NHS Fife,2017,Male,All ages,192,106.93
NHS Forth Valley,2017,Male,All ages,123,82.95
NHS Grampian,2017,Male,All ages,142,48.61
NHS Greater Glasgow & Clyde,2017,Male,All ages,543,96.8
NHS Highland,2017,Male,All ages,129,81.56
NHS Lanarkshire,2017,Male,All ages,397,125.14
NHS Lothian,2017,Male,All ages,401,93.81
NHS Orkney,2017,Male,All ages,16,147.06
NHS Shetland,2017,Male,All ages,5,42.43
NHS Tayside,2017,Male,All ages,183,90.52
NHS Western Isles,2017,Male,All ages,9,67.83
Other,2017,Male,All ages,30,-
NHSScotland,2017,Male,All ages,2491,94.8
NHS Ayrshire & Arran,2018,Both Sexes,00-14,165,284.49
NHS Borders,2018,Both Sexes,00-14,19,106.48
NHS Dumfries & Galloway,2018,Both Sexes,00-14,70,317.37
NHS Fife,2018,Both Sexes,00-14,100,164.79
NHS Forth Valley,2018,Both Sexes,00-14,74,149.1
NHS Grampian,2018,Both Sexes,00-14,88,93.43
NHS Greater Glasgow & Clyde,2018,Both Sexes,00-14,254,137.48
NHS Highland,2018,Both Sexes,00-14,83,168.14
NHS Lanarkshire,2018,Both Sexes,00-14,274,246.67
NHS Lothian,2018,Both Sexes,00-14,225,159.02
NHS Orkney,2018,Both Sexes,00-14,2,60.24
NHS Shetland,2018,Both Sexes,00-14,6,150.53
NHS Tayside,2018,Both Sexes,00-14,128,201.12
NHS Western Isles,2018,Both Sexes,00-14,8,194.69
Other,2018,Both Sexes,00-14,20,-
NHSScotland,2018,Both Sexes,00-14,1516,175.43
NHS Ayrshire & Arran,2018,Both Sexes,15-24,74,180.27
NHS Borders,2018,Both Sexes,15-24,10,86.61
NHS Dumfries & Galloway,2018,Both Sexes,15-24,8,52.9
NHS Fife,2018,Both Sexes,15-24,94,209.24
NHS Forth Valley,2018,Both Sexes,15-24,24,64.02
NHS Grampian,2018,Both Sexes,15-24,51,74.65
