hbresname,discharge_fin_yr_end,sex,age_grp,stays,rate,hb_code
NHS Lanarkshire,2016,Both Sexes,45-54,111,108.09,S08000023
NHS Lothian,2016,Both Sexes,45-54,121,98.82,S08000024
NHS Orkney,2016,Both Sexes,45-54,17,496.93,S08000025
NHS Shetland,2016,Both Sexes,45-54,2,57.54,S08000026
NHS Tayside,2016,Both Sexes,45-54,47,78.53,S08000030
Other,2016,Both Sexes,45-54,6,-,Other
NHS Scotland,2016,Both Sexes,45-54,859,107.23,NHS Scotland
NHS Ayrshire & Arran,2016,Both Sexes,55-64,51,99.11,S08000015
NHS Borders,2016,Both Sexes,55-64,10,59.59,S08000016
NHS Dumfries & Galloway,2016,Both Sexes,55-64,9,40.93,S08000017
NHS Fife,2016,Both Sexes,55-64,46,95.86,S08000029
NHS Forth Valley,2016,Both Sexes,55-64,19,49.83,S08000019
NHS Grampian,2016,Both Sexes,55-64,43,59.48,S08000020
NHS Greater Glasgow & Clyde,2016,Both Sexes,55-64,166,120.44,S08000021
NHS Highland,2016,Both Sexes,55-64,31,66.79,S08000022
NHS Lanarkshire,2016,Both Sexes,55-64,86,101.36,S08000023
NHS Lothian,2016,Both Sexes,55-64,99,100.48,S08000024
NHS Shetland,2016,Both Sexes,55-64,2,65.08,S08000026
NHS Tayside,2016,Both Sexes,55-64,25,46.84,S08000030
Other,2016,Both Sexes,55-64,8,-,Other
NHS Scotland,2016,Both Sexes,55-64,595,87.52,NHS Scotland
NHS Ayrshire & Arran,2016,Both Sexes,65-74,27,60.47,S08000015
NHS Borders,2016,Both Sexes,65-74,10,66.26,S08000016
NHS Dumfries & Galloway,2016,Both Sexes,65-74,11,54.4,S08000017
NHS Fife,2016,Both Sexes,65-74,17,41.32,S08000029
NHS Forth Valley,2016,Both Sexes,65-74,24,76.26,S08000019
NHS Grampian,2016,Both Sexes,65-74,46,82.03,S08000020
NHS Greater Glasgow & Clyde,2016,Both Sexes,65-74,89,88.1,S08000021
NHS Highland,2016,Both Sexes,65-74,20,50.08,S08000022
NHS Lanarkshire,2016,Both Sexes,65-74,58,89.52,S08000023
NHS Lothian,2016,Both Sexes,65-74,60,78.6,S08000024
NHS Orkney,2016,Both Sexes,65-74,3,110.42,S08000025
NHS Shetland,2016,Both Sexes,65-74,1,39.98,S08000026
NHS Tayside,2016,Both Sexes,65-74,16,34.97,S08000030
Other,2016,Both Sexes,65-74,6,-,Other
NHS Scotland,2016,Both Sexes,65-74,388,71.16,NHS Scotland
NHS Ayrshire & Arran,2016,Both Sexes,65+,79,99.86,S08000015
NHS Borders,2016,Both Sexes,65+,18,67.29,S08000016
NHS Dumfries & Galloway,2016,Both Sexes,65+,18,49.53,S08000017
NHS Fife,2016,Both Sexes,65+,35,48.37,S08000029
NHS Forth Valley,2016,Both Sexes,65+,47,84.89,S08000019
NHS Grampian,2016,Both Sexes,65+,92,91.52,S08000020
NHS Greater Glasgow & Clyde,2016,Both Sexes,65+,209,110.9,S08000021
NHS Highland,2016,Both Sexes,65+,50,71.02,S08000022
NHS Lanarkshire,2016,Both Sexes,65+,104,91.09,S08000023
NHS Lothian,2016,Both Sexes,65+,113,81.51,S08000024
NHS Orkney,2016,Both Sexes,65+,5,103.86,S08000025
NHS Shetland,2016,Both Sexes,65+,1,23.11,S08000026
NHS Tayside,2016,Both Sexes,65+,33,38.74,S08000030
NHS Western Isles,2016,Both Sexes,65+,3,45.72,S08000028
Other,2016,Both Sexes,65+,14,-,Other
NHS Scotland,2016,Both Sexes,65+,821,83.52,NHS Scotland
NHS Ayrshire & Arran,2016,Both Sexes,75-84,33,128.45,S08000015
NHS Borders,2016,Both Sexes,75-84,4,46.6,S08000016
NHS Dumfries & Galloway,2016,Both Sexes,75-84,3,25.07,S08000017
NHS Fife,2016,Both Sexes,75-84,14,61.25,S08000029
NHS Forth Valley,2016,Both Sexes,75-84,15,83.76,S08000019
NHS Grampian,2016,Both Sexes,75-84,28,86.55,S08000020
NHS Greater Glasgow & Clyde,2016,Both Sexes,75-84,92,143.35,S08000021
NHS Highland,2016,Both Sexes,75-84,23,102.8,S08000022
NHS Lanarkshire,2016,Both Sexes,75-84,32,85.31,S08000023
NHS Lothian,2016,Both Sexes,75-84,37,82.03,S08000024
NHS Orkney,2016,Both Sexes,75-84,1,65.02,S08000025
NHS Tayside,2016,Both Sexes,75-84,12,42.31,S08000030
NHS Western Isles,2016,Both Sexes,75-84,1,46.66,S08000028
Other,2016,Both Sexes,75-84,6,-,Other
NHS Scotland,2016,Both Sexes,75-84,301,93.5,NHS Scotland
NHS Ayrshire & Arran,2016,Both Sexes,75+,52,150.91,S08000015
NHS Borders,2016,Both Sexes,75+,8,68.63,S08000016
NHS Dumfries & Galloway,2016,Both Sexes,75+,7,43.42,S08000017
NHS Fife,2016,Both Sexes,75+,18,57.66,S08000029
NHS Forth Valley,2016,Both Sexes,75+,23,96.27,S08000019
NHS Grampian,2016,Both Sexes,75+,46,103.5,S08000020
NHS Greater Glasgow & Clyde,2016,Both Sexes,75+,120,137.26,S08000021
NHS Highland,2016,Both Sexes,75+,30,98.48,S08000022
NHS Lanarkshire,2016,Both Sexes,75+,46,93.15,S08000023
NHS Lothian,2016,Both Sexes,75+,53,85.08,S08000024
NHS Orkney,2016,Both Sexes,75+,2,95.37,S08000025
NHS Tayside,2016,Both Sexes,75+,17,43.1,S08000030
NHS Western Isles,2016,Both Sexes,75+,3,100.3,S08000028
Other,2016,Both Sexes,75+,8,-,Other
NHS Scotland,2016,Both Sexes,75+,433,98.92,NHS Scotland
NHS Ayrshire & Arran,2016,Both Sexes,85+,19,216.7,S08000015
NHS Borders,2016,Both Sexes,85+,4,130.17,S08000016
NHS Dumfries & Galloway,2016,Both Sexes,85+,4,96.27,S08000017
NHS Fife,2016,Both Sexes,85+,4,47.84,S08000029
NHS Forth Valley,2016,Both Sexes,85+,8,133.71,S08000019
NHS Grampian,2016,Both Sexes,85+,18,148.83,S08000020
NHS Greater Glasgow & Clyde,2016,Both Sexes,85+,28,120.44,S08000021
NHS Highland,2016,Both Sexes,85+,7,86.53,S08000022
NHS Lanarkshire,2016,Both Sexes,85+,14,117.94,S08000023
NHS Lothian,2016,Both Sexes,85+,16,93.08,S08000024
NHS Orkney,2016,Both Sexes,85+,1,178.89,S08000025
NHS Tayside,2016,Both Sexes,85+,5,45.11,S08000030
NHS Western Isles,2016,Both Sexes,85+,2,235.85,S08000028
Other,2016,Both Sexes,85+,2,-,Other
NHS Scotland,2016,Both Sexes,85+,132,113.98,NHS Scotland
NHS Ayrshire & Arran,2016,Both Sexes,All ages,498,134.38,S08000015
NHS Borders,2016,Both Sexes,All ages,128,112.25,S08000016
NHS Dumfries & Galloway,2016,Both Sexes,All ages,128,85.52,S08000017
NHS Fife,2016,Both Sexes,All ages,503,136.66,S08000029
NHS Forth Valley,2016,Both Sexes,All ages,287,94.83,S08000019
NHS Grampian,2016,Both Sexes,All ages,501,85.23,S08000020
NHS Greater Glasgow & Clyde,2016,Both Sexes,All ages,1634,142.1,S08000021
NHS Highland,2016,Both Sexes,All ages,315,98.13,S08000022
NHS Lanarkshire,2016,Both Sexes,All ages,929,141.94,S08000023
NHS Lothian,2016,Both Sexes,All ages,1007,116.04,S08000024
NHS Orkney,2016,Both Sexes,All ages,29,133.83,S08000025
NHS Shetland,2016,Both Sexes,All ages,16,68.97,S08000026
NHS Tayside,2016,Both Sexes,All ages,386,93,S08000030
NHS Western Isles,2016,Both Sexes,All ages,12,44.33,S08000028
Other,2016,Both Sexes,All ages,77,-,Other
NHS Scotland,2016,Both Sexes,All ages,6450,120.04,NHS Scotland
NHS Ayrshire & Arran,2016,Female,00-14,71,249.05,S08000015
NHS Borders,2016,Female,00-14,4,45.8,S08000016
NHS Dumfries & Galloway,2016,Female,00-14,16,148.09,S08000017
NHS Fife,2016,Female,00-14,37,126.06,S08000029
NHS Forth Valley,2016,Female,00-14,53,219.29,S08000019
NHS Grampian,2016,Female,00-14,34,74.74,S08000020
NHS Greater Glasgow & Clyde,2016,Female,00-14,173,195.12,S08000021
NHS Highland,2016,Female,00-14,36,147.79,S08000022
NHS Lanarkshire,2016,Female,00-14,111,204.5,S08000023
NHS Lothian,2016,Female,00-14,109,161.39,S08000024
NHS Shetland,2016,Female,00-14,3,158.56,S08000026
NHS Tayside,2016,Female,00-14,53,171.02,S08000030
Other,2016,Female,00-14,14,-,Other
NHS Scotland,2016,Female,00-14,714,170.68,NHS Scotland
NHS Ayrshire & Arran,2016,Female,15-24,25,119.72,S08000015
NHS Borders,2016,Female,15-24,24,416.23,S08000016
NHS Dumfries & Galloway,2016,Female,15-24,5,64.68,S08000017
NHS Fife,2016,Female,15-24,74,322.57,S08000029
NHS Forth Valley,2016,Female,15-24,20,106.42,S08000019
NHS Grampian,2016,Female,15-24,31,84.56,S08000020
NHS Greater Glasgow & Clyde,2016,Female,15-24,138,179.69,S08000021
NHS Highland,2016,Female,15-24,30,188.57,S08000022
NHS Lanarkshire,2016,Female,15-24,56,146.67,S08000023
NHS Lothian,2016,Female,15-24,97,164.85,S08000024
NHS Orkney,2016,Female,15-24,2,187.97,S08000025
NHS Shetland,2016,Female,15-24,4,311.04,S08000026
NHS Tayside,2016,Female,15-24,27,101.3,S08000030
NHS Western Isles,2016,Female,15-24,4,327.87,S08000028
Other,2016,Female,15-24,7,-,Other
NHS Scotland,2016,Female,15-24,544,163.5,NHS Scotland
NHS Ayrshire & Arran,2016,Female,25-34,24,116.7,S08000015
NHS Borders,2016,Female,25-34,5,94.07,S08000016
NHS Dumfries & Galloway,2016,Female,25-34,6,79.6,S08000017
NHS Fife,2016,Female,25-34,68,311.68,S08000029
NHS Forth Valley,2016,Female,25-34,27,149.25,S08000019
NHS Grampian,2016,Female,25-34,41,98.11,S08000020
NHS Greater Glasgow & Clyde,2016,Female,25-34,137,156.87,S08000021
NHS Highland,2016,Female,25-34,26,154.61,S08000022
NHS Lanarkshire,2016,Female,25-34,66,161.03,S08000023
NHS Lothian,2016,Female,25-34,105,148.58,S08000024
NHS Tayside,2016,Female,25-34,29,110.25,S08000030
Other,2016,Female,25-34,1,-,Other
NHS Scotland,2016,Female,25-34,535,148.2,NHS Scotland
NHS Ayrshire & Arran,2016,Female,35-44,53,234.57,S08000015
NHS Borders,2016,Female,35-44,13,195.49,S08000016
NHS Dumfries & Galloway,2016,Female,35-44,6,73.81,S08000017
NHS Fife,2016,Female,35-44,32,138.25,S08000029
NHS Forth Valley,2016,Female,35-44,20,99.36,S08000019
NHS Grampian,2016,Female,35-44,47,123.01,S08000020
NHS Greater Glasgow & Clyde,2016,Female,35-44,124,168.3,S08000021
NHS Highland,2016,Female,35-44,17,89.89,S08000022
NHS Lanarkshire,2016,Female,35-44,89,204.02,S08000023
NHS Lothian,2016,Female,35-44,72,122.22,S08000024
NHS Orkney,2016,Female,35-44,4,309.84,S08000025
NHS Shetland,2016,Female,35-44,2,137.27,S08000026
NHS Tayside,2016,Female,35-44,24,100,S08000030
NHS Western Isles,2016,Female,35-44,1,62.11,S08000028
Other,2016,Female,35-44,2,-,Other
NHS Scotland,2016,Female,35-44,506,147.81,NHS Scotland
NHS Ayrshire & Arran,2016,Female,45-54,42,140.09,S08000015
NHS Borders,2016,Female,45-54,13,139.82,S08000016
NHS Dumfries & Galloway,2016,Female,45-54,9,74.7,S08000017
NHS Fife,2016,Female,45-54,77,271.73,S08000029
NHS Forth Valley,2016,Female,45-54,27,111.83,S08000019
NHS Grampian,2016,Female,45-54,39,91.32,S08000020
NHS Greater Glasgow & Clyde,2016,Female,45-54,166,186.24,S08000021
NHS Highland,2016,Female,45-54,29,114.08,S08000022
NHS Lanarkshire,2016,Female,45-54,79,149.17,S08000023
NHS Lothian,2016,Female,45-54,94,151.35,S08000024
NHS Orkney,2016,Female,45-54,1,59.31,S08000025
NHS Tayside,2016,Female,45-54,29,94.32,S08000030
Other,2016,Female,45-54,5,-,Other
NHS Scotland,2016,Female,45-54,610,147.94,NHS Scotland
NHS Ayrshire & Arran,2016,Female,55-64,35,130.87,S08000015
NHS Borders,2016,Female,55-64,7,82.09,S08000016
NHS Dumfries & Galloway,2016,Female,55-64,6,53.3,S08000017
NHS Fife,2016,Female,55-64,40,162.67,S08000029
NHS Forth Valley,2016,Female,55-64,12,61.53,S08000019
NHS Grampian,2016,Female,55-64,25,69.12,S08000020
NHS Greater Glasgow & Clyde,2016,Female,55-64,116,162.83,S08000021
NHS Highland,2016,Female,55-64,19,80.42,S08000022
NHS Lanarkshire,2016,Female,55-64,57,129.18,S08000023
NHS Lothian,2016,Female,55-64,67,132.92,S08000024
NHS Tayside,2016,Female,55-64,15,54.98,S08000030
Other,2016,Female,55-64,5,-,Other
NHS Scotland,2016,Female,55-64,404,115.93,NHS Scotland
NHS Ayrshire & Arran,2016,Female,65-74,16,68.08,S08000015
NHS Borders,2016,Female,65-74,7,90.29,S08000016
NHS Dumfries & Galloway,2016,Female,65-74,8,77.25,S08000017
NHS Fife,2016,Female,65-74,13,60.56,S08000029
NHS Forth Valley,2016,Female,65-74,13,79.11,S08000019
NHS Grampian,2016,Female,65-74,36,124.66,S08000020
NHS Greater Glasgow & Clyde,2016,Female,65-74,71,131.9,S08000021
NHS Highland,2016,Female,65-74,14,68.39,S08000022
NHS Lanarkshire,2016,Female,65-74,46,133.8,S08000023
NHS Lothian,2016,Female,65-74,48,118.74,S08000024
NHS Orkney,2016,Female,65-74,3,215.05,S08000025
NHS Shetland,2016,Female,65-74,1,82.03,S08000026
NHS Tayside,2016,Female,65-74,10,41.68,S08000030
Other,2016,Female,65-74,2,-,Other
NHS Scotland,2016,Female,65-74,288,100.74,NHS Scotland
NHS Ayrshire & Arran,2016,Female,65+,59,134.9,S08000015
NHS Borders,2016,Female,65+,13,89.85,S08000016
NHS Dumfries & Galloway,2016,Female,65+,14,71.89,S08000017
NHS Fife,2016,Female,65+,28,70.26,S08000029
NHS Forth Valley,2016,Female,65+,28,91.78,S08000019
NHS Grampian,2016,Female,65+,67,121.77,S08000020
NHS Greater Glasgow & Clyde,2016,Female,65+,161,148.81,S08000021
NHS Highland,2016,Female,65+,34,88.76,S08000022
NHS Lanarkshire,2016,Female,65+,82,127.46,S08000023
NHS Lothian,2016,Female,65+,88,113.16,S08000024
NHS Orkney,2016,Female,65+,4,156.56,S08000025
NHS Shetland,2016,Female,65+,1,44.4,S08000026
NHS Tayside,2016,Female,65+,21,44.42,S08000030
NHS Western Isles,2016,Female,65+,2,55.9,S08000028
Other,2016,Female,65+,7,-,Other
NHS Scotland,2016,Female,65+,609,111.27,NHS Scotland
NHS Ayrshire & Arran,2016,Female,75-84,28,194.32,S08000015
NHS Borders,2016,Female,75-84,4,84.03,S08000016
NHS Dumfries & Galloway,2016,Female,75-84,3,46.53,S08000017
NHS Fife,2016,Female,75-84,11,85.37,S08000029
NHS Forth Valley,2016,Female,75-84,9,89.07,S08000019
NHS Grampian,2016,Female,75-84,16,88,S08000020
NHS Greater Glasgow & Clyde,2016,Female,75-84,70,182.47,S08000021
NHS Highland,2016,Female,75-84,17,135.54,S08000022
NHS Lanarkshire,2016,Female,75-84,25,114.12,S08000023
NHS Lothian,2016,Female,75-84,27,104.24,S08000024
NHS Tayside,2016,Female,75-84,7,43.96,S08000030
Other,2016,Female,75-84,3,-,Other
NHS Scotland,2016,Female,75-84,220,119.44,NHS Scotland
NHS Ayrshire & Arran,2016,Female,75+,43,212.5,S08000015
NHS Borders,2016,Female,75+,6,89.35,S08000016
NHS Dumfries & Galloway,2016,Female,75+,6,65.81,S08000017
NHS Fife,2016,Female,75+,15,81.59,S08000029
NHS Forth Valley,2016,Female,75+,15,106.56,S08000019
NHS Grampian,2016,Female,75+,31,118.57,S08000020
NHS Greater Glasgow & Clyde,2016,Female,75+,90,165.54,S08000021
NHS Highland,2016,Female,75+,20,112.15,S08000022
NHS Lanarkshire,2016,Female,75+,36,120.17,S08000023
NHS Lothian,2016,Female,75+,40,107.13,S08000024
NHS Orkney,2016,Female,75+,1,86.21,S08000025
NHS Tayside,2016,Female,75+,11,47.24,S08000030
NHS Western Isles,2016,Female,75+,2,111.11,S08000028
Other,2016,Female,75+,5,-,Other
NHS Scotland,2016,Female,75+,321,122.78,NHS Scotland
NHS Ayrshire & Arran,2016,Female,85+,15,257.47,S08000015
NHS Borders,2016,Female,85+,2,102.3,S08000016
NHS Dumfries & Galloway,2016,Female,85+,3,112.4,S08000017
NHS Fife,2016,Female,85+,4,72.74,S08000029
NHS Forth Valley,2016,Female,85+,6,151.06,S08000019
NHS Grampian,2016,Female,85+,15,188.39,S08000020
NHS Greater Glasgow & Clyde,2016,Female,85+,20,124.96,S08000021
NHS Highland,2016,Female,85+,3,56.69,S08000022
NHS Lanarkshire,2016,Female,85+,11,136.63,S08000023
NHS Lothian,2016,Female,85+,13,113.67,S08000024
NHS Orkney,2016,Female,85+,1,294.99,S08000025
NHS Tayside,2016,Female,85+,4,54.36,S08000030
NHS Western Isles,2016,Female,85+,2,350.88,S08000028
Other,2016,Female,85+,2,-,Other
NHS Scotland,2016,Female,85+,101,130.73,NHS Scotland
NHS Ayrshire & Arran,2016,Female,All ages,309,160.09,S08000015
NHS Borders,2016,Female,All ages,79,134.45,S08000016
NHS Dumfries & Galloway,2016,Female,All ages,62,80.54,S08000017
NHS Fife,2016,Female,All ages,356,187.34,S08000029
NHS Forth Valley,2016,Female,All ages,187,120.38,S08000019
NHS Grampian,2016,Female,All ages,284,95.93,S08000020
NHS Greater Glasgow & Clyde,2016,Female,All ages,1015,170.58,S08000021
NHS Highland,2016,Female,All ages,191,116.93,S08000022
NHS Lanarkshire,2016,Female,All ages,540,159.53,S08000023
NHS Lothian,2016,Female,All ages,632,141.63,S08000024
NHS Orkney,2016,Female,All ages,11,101.06,S08000025
NHS Shetland,2016,Female,All ages,10,87.59,S08000026
NHS Tayside,2016,Female,All ages,198,92.85,S08000030
NHS Western Isles,2016,Female,All ages,7,51.11,S08000028
Other,2016,Female,All ages,41,-,Other
NHS Scotland,2016,Female,All ages,3922,141.97,NHS Scotland
NHS Ayrshire & Arran,2016,Male,00-14,93,313.78,S08000015
NHS Borders,2016,Male,00-14,20,222.62,S08000016
NHS Dumfries & Galloway,2016,Male,00-14,40,352.11,S08000017
NHS Fife,2016,Male,00-14,78,251.95,S08000029
NHS Forth Valley,2016,Male,00-14,42,166.38,S08000019
NHS Grampian,2016,Male,00-14,58,121.54,S08000020
NHS Greater Glasgow & Clyde,2016,Male,00-14,287,310.63,S08000021
NHS Highland,2016,Male,00-14,70,274.93,S08000022
NHS Lanarkshire,2016,Male,00-14,214,379.37,S08000023
NHS Lothian,2016,Male,00-14,175,247.49,S08000024
NHS Shetland,2016,Male,00-14,2,96.62,S08000026
NHS Tayside,2016,Male,00-14,112,343.63,S08000030
NHS Western Isles,2016,Male,00-14,2,95.51,S08000028
Other,2016,Male,00-14,14,-,Other
NHS Scotland,2016,Male,00-14,1207,275.99,NHS Scotland
NHS Ayrshire & Arran,2016,Male,15-24,16,73.55,S08000015
NHS Borders,2016,Male,15-24,3,51.53,S08000016
NHS Dumfries & Galloway,2016,Male,15-24,6,74.06,S08000017
NHS Fife,2016,Male,15-24,18,79.67,S08000029
NHS Forth Valley,2016,Male,15-24,6,30.76,S08000019
NHS Grampian,2016,Male,15-24,13,34.43,S08000020
NHS Greater Glasgow & Clyde,2016,Male,15-24,60,77.39,S08000021
NHS Highland,2016,Male,15-24,7,37.83,S08000022
NHS Lanarkshire,2016,Male,15-24,26,64.96,S08000023
NHS Lothian,2016,Male,15-24,51,91.19,S08000024
NHS Tayside,2016,Male,15-24,17,61.95,S08000030
NHS Western Isles,2016,Male,15-24,1,74.07,S08000028
Other,2016,Male,15-24,2,-,Other
NHS Scotland,2016,Male,15-24,226,66.68,NHS Scotland
NHS Ayrshire & Arran,2016,Male,25-34,7,36.91,S08000015
NHS Borders,2016,Male,25-34,5,101.58,S08000016
NHS Dumfries & Galloway,2016,Male,25-34,6,84.12,S08000017
NHS Fife,2016,Male,25-34,12,59.33,S08000029
NHS Forth Valley,2016,Male,25-34,4,23.61,S08000019
NHS Grampian,2016,Male,25-34,51,116.96,S08000020
NHS Greater Glasgow & Clyde,2016,Male,25-34,59,67.7,S08000021
NHS Highland,2016,Male,25-34,4,23.29,S08000022
NHS Lanarkshire,2016,Male,25-34,19,49.97,S08000023
NHS Lothian,2016,Male,25-34,31,46.39,S08000024
NHS Tayside,2016,Male,25-34,7,26.87,S08000030
NHS Western Isles,2016,Male,25-34,1,77.52,S08000028
Other,2016,Male,25-34,5,-,Other
NHS Scotland,2016,Male,25-34,211,60.15,NHS Scotland
NHS Ayrshire & Arran,2016,Male,35-44,22,109.58,S08000015
NHS Borders,2016,Male,35-44,13,215.23,S08000016
NHS Fife,2016,Male,35-44,11,50.98,S08000029
NHS Forth Valley,2016,Male,35-44,11,58.35,S08000019
NHS Grampian,2016,Male,35-44,14,35.85,S08000020
NHS Greater Glasgow & Clyde,2016,Male,35-44,55,78.55,S08000021
NHS Highland,2016,Male,35-44,8,45.11,S08000022
NHS Lanarkshire,2016,Male,35-44,47,113.92,S08000023
NHS Lothian,2016,Male,35-44,34,57.84,S08000024
NHS Orkney,2016,Male,35-44,1,86.96,S08000025
NHS Tayside,2016,Male,35-44,12,53.11,S08000030
Other,2016,Male,35-44,4,-,Other
NHS Scotland,2016,Male,35-44,232,70.81,NHS Scotland
NHS Ayrshire & Arran,2016,Male,45-54,15,55.43,S08000015
NHS Dumfries & Galloway,2016,Male,45-54,7,63.05,S08000017
NHS Fife,2016,Male,45-54,15,56.01,S08000029
NHS Forth Valley,2016,Male,45-54,11,47.24,S08000019
NHS Grampian,2016,Male,45-54,38,90.46,S08000020
NHS Greater Glasgow & Clyde,2016,Male,45-54,60,74.15,S08000021
NHS Highland,2016,Male,45-54,7,29.29,S08000022
NHS Lanarkshire,2016,Male,45-54,32,64.35,S08000023
NHS Lothian,2016,Male,45-54,27,44.75,S08000024
NHS Orkney,2016,Male,45-54,16,922.19,S08000025
NHS Shetland,2016,Male,45-54,2,112.55,S08000026
NHS Tayside,2016,Male,45-54,18,61.86,S08000030
Other,2016,Male,45-54,1,-,Other
NHS Scotland,2016,Male,45-54,249,64.05,NHS Scotland
NHS Ayrshire & Arran,2016,Male,55-64,16,64.74,S08000015
NHS Borders,2016,Male,55-64,3,36.35,S08000016
NHS Dumfries & Galloway,2016,Male,55-64,3,27.95,S08000017
NHS Fife,2016,Male,55-64,6,25.64,S08000029
NHS Forth Valley,2016,Male,55-64,7,37.58,S08000019
NHS Grampian,2016,Male,55-64,18,49.82,S08000020
NHS Greater Glasgow & Clyde,2016,Male,55-64,50,75.09,S08000021
NHS Highland,2016,Male,55-64,12,52.66,S08000022
NHS Lanarkshire,2016,Male,55-64,29,71.22,S08000023
NHS Lothian,2016,Male,55-64,32,66.5,S08000024
NHS Shetland,2016,Male,55-64,2,127.15,S08000026
NHS Tayside,2016,Male,55-64,10,38.33,S08000030
Other,2016,Male,55-64,3,-,Other
NHS Scotland,2016,Male,55-64,191,57.65,NHS Scotland
NHS Ayrshire & Arran,2016,Male,65-74,11,52.01,S08000015
NHS Borders,2016,Male,65-74,3,40.88,S08000016
NHS Dumfries & Galloway,2016,Male,65-74,3,30.41,S08000017
NHS Fife,2016,Male,65-74,4,20.33,S08000029
NHS Forth Valley,2016,Male,65-74,11,73.14,S08000019
NHS Grampian,2016,Male,65-74,10,36.76,S08000020
NHS Greater Glasgow & Clyde,2016,Male,65-74,18,38.14,S08000021
NHS Highland,2016,Male,65-74,6,30.82,S08000022
NHS Lanarkshire,2016,Male,65-74,12,39.46,S08000023
NHS Lothian,2016,Male,65-74,12,33.42,S08000024
NHS Tayside,2016,Male,65-74,6,27.58,S08000030
Other,2016,Male,65-74,4,-,Other
NHS Scotland,2016,Male,65-74,100,38.55,NHS Scotland
NHS Ayrshire & Arran,2016,Male,65+,20,56.54,S08000015
NHS Borders,2016,Male,65+,5,40.72,S08000016
NHS Dumfries & Galloway,2016,Male,65+,4,23.71,S08000017
NHS Fife,2016,Male,65+,7,21.53,S08000029
NHS Forth Valley,2016,Male,65+,19,76.44,S08000019
NHS Grampian,2016,Male,65+,25,54.94,S08000020
NHS Greater Glasgow & Clyde,2016,Male,65+,48,59.81,S08000021
NHS Highland,2016,Male,65+,16,49.85,S08000022
NHS Lanarkshire,2016,Male,65+,22,44.14,S08000023
NHS Lothian,2016,Male,65+,25,41.08,S08000024
NHS Orkney,2016,Male,65+,1,44.27,S08000025
NHS Tayside,2016,Male,65+,12,31.65,S08000030
NHS Western Isles,2016,Male,65+,1,33.52,S08000028
Other,2016,Male,65+,7,-,Other
NHS Scotland,2016,Male,65+,212,48.66,NHS Scotland
NHS Ayrshire & Arran,2016,Male,75-84,5,44.32,S08000015
NHS Fife,2016,Male,75-84,3,30.08,S08000029
NHS Forth Valley,2016,Male,75-84,6,76.88,S08000019
NHS Grampian,2016,Male,75-84,12,84.69,S08000020
NHS Greater Glasgow & Clyde,2016,Male,75-84,22,85.22,S08000021
NHS Highland,2016,Male,75-84,6,61.03,S08000022
NHS Lanarkshire,2016,Male,75-84,7,44.86,S08000023
NHS Lothian,2016,Male,75-84,10,52.07,S08000024
NHS Orkney,2016,Male,75-84,1,139.47,S08000025
NHS Tayside,2016,Male,75-84,5,40.21,S08000030
NHS Western Isles,2016,Male,75-84,1,109.53,S08000028
Other,2016,Male,75-84,3,-,Other
NHS Scotland,2016,Male,75-84,81,58.81,NHS Scotland
NHS Ayrshire & Arran,2016,Male,75+,9,63.28,S08000015
NHS Borders,2016,Male,75+,2,40.47,S08000016
NHS Dumfries & Galloway,2016,Male,75+,1,14.28,S08000017
NHS Fife,2016,Male,75+,3,23.37,S08000029
NHS Forth Valley,2016,Male,75+,8,81.51,S08000019
NHS Grampian,2016,Male,75+,15,81.96,S08000020
NHS Greater Glasgow & Clyde,2016,Male,75+,30,90.74,S08000021
NHS Highland,2016,Male,75+,10,79.18,S08000022
NHS Lanarkshire,2016,Male,75+,10,51.48,S08000023
NHS Lothian,2016,Male,75+,13,52.09,S08000024
NHS Orkney,2016,Male,75+,1,106.72,S08000025
NHS Tayside,2016,Male,75+,6,37.13,S08000030
NHS Western Isles,2016,Male,75+,1,83.96,S08000028
Other,2016,Male,75+,3,-,Other
NHS Scotland,2016,Male,75+,112,63.54,NHS Scotland
NHS Ayrshire & Arran,2016,Male,85+,4,135.96,S08000015
NHS Borders,2016,Male,85+,2,178.89,S08000016
NHS Dumfries & Galloway,2016,Male,85+,1,67.29,S08000017
NHS Forth Valley,2016,Male,85+,2,99.45,S08000019
NHS Grampian,2016,Male,85+,3,72.6,S08000020
NHS Greater Glasgow & Clyde,2016,Male,85+,8,110.45,S08000021
NHS Highland,2016,Male,85+,4,142.96,S08000022
NHS Lanarkshire,2016,Male,85+,3,78.55,S08000023
NHS Lothian,2016,Male,85+,3,52.16,S08000024
NHS Tayside,2016,Male,85+,1,26.85,S08000030
NHS Scotland,2016,Male,85+,31,80.42,NHS Scotland
NHS Ayrshire & Arran,2016,Male,All ages,189,106.43,S08000015
NHS Borders,2016,Male,All ages,49,88.65,S08000016
NHS Dumfries & Galloway,2016,Male,All ages,66,90.8,S08000017
NHS Fife,2016,Male,All ages,147,82.56,S08000029
NHS Forth Valley,2016,Male,All ages,100,67.88,S08000019
NHS Grampian,2016,Male,All ages,217,74.37,S08000020
NHS Greater Glasgow & Clyde,2016,Male,All ages,619,111.56,S08000021
NHS Highland,2016,Male,All ages,124,78.65,S08000022
NHS Lanarkshire,2016,Male,All ages,389,123.1,S08000023
NHS Lothian,2016,Male,All ages,375,88.95,S08000024
NHS Orkney,2016,Male,All ages,18,166.9,S08000025
